tt0000014,['Comedy'],Arroseur et arrosé,1895-12-27,7.0,44,"['nconst', 'category']"
tt0014440,"['Adventure', 'Drama']",Scaramouche,1923-09-15,8.0,3,"['nm0926705', 'editor']","['nm0408937', 'actor']","['nm0855935', 'actress']","['nm0003895', 'actor']","['nm0832011', 'actor']","['nm0002271', 'director']","['nm0754581', 'writer']","['nm0325135', 'writer']","['nm0798920', 'composer']","['nm0005870', 'cinematographer']"
tt0014497,"['Comedy', 'Drama', 'Romance']",Souls for Sale,1923-04-22,7.5,2,"['nm0732624', 'actor']","['nm0090187', 'actress']","['nm0562866', 'actor']","['nm0228715', 'actor']","['nm0123994', 'actress']","['nm0400912', 'director']","['nm1976494', 'composer']","['nm0005796', 'cinematographer']","['nm0478704', 'actress']","['nm0168595', 'actor']"
tt0014532,['Drama'],The Ten Commandments,1923-11-23,7.0,10,"['nm0922574', 'cinematographer']","['nm0731623', 'actor']","['nm0211191', 'actor']","['nm0852347', 'actress']","['nm0269671', 'actress']","['nm0001124', 'director']","['nm0534221', 'writer']","['nm0322688', 'cinematographer']","['nm0549132', 'cinematographer']","['nm0005887', 'cinematographer']"
tt0014538,"['Drama', 'Comedy']",Three Ages,1923-09-24,7.2,20,"['nm0504380', 'cinematographer']","['nm0000036', 'actor']","['nm0494993', 'actress']","['nm0000891', 'actor']","['nm0731247', 'actor']","['nm0166836', 'director']","['nm0115669', 'writer']","['nm0593477', 'writer']","['nm0369841', 'writer']","['nm0004592', 'composer']"
tt0014605,['Drama'],The White Sister,1923-09-05,7.8,3,"['nm0058809', 'writer']","['nm0001273', 'actress']","['nm0172903', 'actor']","['nm0437312', 'actress']","['nm0792727', 'actor']","['nm0454771', 'director']","['nm0186769', 'writer']","['nm0387551', 'writer']","['nm0926417', 'writer']","['nm0728519', 'writer']"
tt0014624,"['Drama', 'Romance']",A Woman of Paris: A Drama of Fate,1923-10-01,7.1,17,"['nm0048798', 'actress']","['nm0701012', 'actress']","['nm0312238', 'actor']","['nm0588033', 'actor']","['nm0461438', 'actress']","['nm0000122', 'director']","['nm0294058', 'actor']","['nm0579663', 'actor']","['nm0607369', 'actress']","['nm0689748', 'actress']"
tt0014702,['Drama'],Beau Brummel,1924-03-30,8.5,2,"['nm0107854', 'editor']","['nm0000858', 'actor']","['nm0000802', 'actress']","['nm0521919', 'actor']","['nm0616659', 'actress']","['nm0064600', 'director']","['nm0280003', 'writer']","['nm0267913', 'writer']","['nm1994071', 'composer']","['nm0008441', 'cinematographer']"
tt0014900,"['Comedy', 'Drama']",Die Finanzen des Großherzogs,1924-01-07,7.5,4,"['nm0005713', 'cinematographer']","['nm0160130', 'actress']","['nm0509573', 'actor']","['nm0774662', 'actor']","['nm0002154', 'actor']","['nm0003638', 'director']","['nm0375305', 'writer']","['nm0920853', 'writer']","['nm0902376', 'writer']","['nm0690143', 'producer']"
tt0014972,"['Drama', 'Romance', 'Thriller']",He Who Gets Slapped,1924-12-22,7.2,15,"['nm0943969', 'editor']","['nm0151606', 'actor']","['nm0790454', 'actress']","['nm0318105', 'actor']","['nm0455246', 'actress']","['nm0803705', 'director']","['nm0028916', 'writer']","['nm0933133', 'writer']","['nm0014703', 'writer']","['nm0601657', 'cinematographer']"
tt0015014,"['Drama', 'Science Fiction']",L'Inhumaine,1924-12-12,7.8,4,"['nm0817414', 'cinematographer']","['nm0146019', 'actor']","['nm0540771', 'actor']","['nm0405742', 'actor']","['nm0445812', 'actor']","['nm0478303', 'director']","['nm0241409', 'writer']","['nm2526424', 'writer']","['nm0495693', 'writer']","['nm0733903', 'cinematographer']"
